mut_1,mut_2,count,gene_name_1,gene_name_2,amenable_1,amenable_2,both_amenable,mouse_variant_1,mouse_variant_2,both_mouse
AACR-H0000147-M01,AACR-H0000172-M01,240,NRAS,CBLB,True,True,True,True,True,True
AACR-H0000185-M01,AACR-H0000128-M01,240,CSF3R,CBLB,True,False,False,True,,False
AACR-H0000147-M01,AACR-H0000166-M01,240,NRAS,NOTCH1,True,True,True,True,True,True
AACR-H0000147-M01,AACR-H0000168-M01,240,NRAS,NOTCH1,True,True,True,True,True,True
AACR-H0000180-M01,AACR-H0000137-M01,239,NOTCH1,SRSF2,False,True,False,,True,False
AACR-H0000178-M01,AACR-H0000137-M01,239,NOTCH1,SRSF2,False,True,False,,True,False
AACR-H0000178-M01,AACR-H0000136-M01,238,NOTCH1,FLT3,False,True,False,,True,False
AACR-H0000172-M01,AACR-H0000145-M01,238,CBLB,GATA2,True,True,True,True,True,True
AACR-H0000180-M01,AACR-H0000136-M01,237,NOTCH1,FLT3,False,True,False,,True,False
AACR-H0000142-M01,AACR-H0000178-M01,236,CUX1,NOTCH1,False,False,False,,,False
AACR-H0000185-M01,AACR-H0000133-M01,235,CSF3R,CUX1,True,True,True,True,True,True
AACR-H0000145-M01,AACR-H0000178-M01,234,GATA2,NOTCH1,True,False,False,True,,False
AACR-H0000180-M01,AACR-H0000166-M01,234,NOTCH1,NOTCH1,False,True,False,,True,False
AACR-H0000185-M01,AACR-H0000132-M01,234,CSF3R,RUNX1,True,False,False,True,,False
AACR-H0000180-M01,AACR-H0000168-M01,234,NOTCH1,NOTCH1,False,True,False,,True,False
AACR-H0000185-M01,AACR-H0000136-M01,233,CSF3R,FLT3,True,True,True,True,True,True
AACR-H0000142-M01,AACR-H0000180-M01,233,CUX1,NOTCH1,False,False,False,,,False
AACR-H0000185-M01,AACR-H0000137-M01,232,CSF3R,SRSF2,True,True,True,True,True,True
AACR-H0000118-M01,AACR-H0000198-M01,232,SRSF2,RUNX1,True,False,False,True,,False
AACR-H0000123-M01,AACR-H0000198-M01,231,SMC3,RUNX1,True,False,False,True,,False
AACR-H0000122-M01,AACR-H0000198-M01,231,PDGFRA,RUNX1,True,False,False,True,,False
AACR-H0000124-M01,AACR-H0000198-M01,231,CBLB,RUNX1,False,False,False,,,False
AACR-H0000185-M01,AACR-H0000142-M01,230,CSF3R,CUX1,True,False,False,True,,False
AACR-H0000147-M01,AACR-H0000178-M01,230,NRAS,NOTCH1,True,False,False,True,,False
AACR-H0000118-M01,AACR-H0000203-M01,230,SRSF2,SETBP1,True,False,False,True,,False
AACR-H0000122-M01,AACR-H0000203-M01,230,PDGFRA,SETBP1,True,False,False,True,,False
AACR-H0000123-M01,AACR-H0000203-M01,230,SMC3,SETBP1,True,False,False,True,,False
AACR-H0000145-M01,AACR-H0000180-M01,230,GATA2,NOTCH1,True,False,False,True,,False
AACR-H0000124-M01,AACR-H0000203-M01,230,CBLB,SETBP1,False,False,False,,,False
AACR-H0000128-M01,AACR-H0000198-M01,230,CBLB,RUNX1,False,False,False,,,False
AACR-H0000147-M01,AACR-H0000180-M01,229,NRAS,NOTCH1,True,False,False,True,,False
AACR-H0000128-M01,AACR-H0000203-M01,228,CBLB,SETBP1,False,False,False,,,False
AACR-H0000172-M01,AACR-H0000158-M01,227,CBLB,NOTCH1,True,True,True,True,True,True
AACR-H0000185-M01,AACR-H0000145-M01,226,CSF3R,GATA2,True,True,True,True,True,True
AACR-H0000133-M01,AACR-H0000198-M01,226,CUX1,RUNX1,True,False,False,True,,False
AACR-H0000133-M01,AACR-H0000203-M01,226,CUX1,SETBP1,True,False,False,True,,False
AACR-H0000185-M01,AACR-H0000147-M01,225,CSF3R,NRAS,True,True,True,True,True,True
AACR-H0000136-M01,AACR-H0000203-M01,224,FLT3,SETBP1,True,False,False,True,,False
AACR-H0000132-M01,AACR-H0000198-M01,223,RUNX1,RUNX1,False,False,False,,,False
AACR-H0000180-M01,AACR-H0000178-M01,223,NOTCH1,NOTCH1,False,False,False,,,False
AACR-H0000136-M01,AACR-H0000198-M01,222,FLT3,RUNX1,True,False,False,True,,False
AACR-H0000203-M01,AACR-H0000132-M01,222,SETBP1,RUNX1,False,False,False,,,False
AACR-H0000137-M01,AACR-H0000203-M01,222,SRSF2,SETBP1,True,False,False,True,,False
AACR-H0000142-M01,AACR-H0000198-M01,221,CUX1,RUNX1,False,False,False,,,False
AACR-H0000172-M01,AACR-H0000166-M01,221,CBLB,NOTCH1,True,True,True,True,True,True
AACR-H0000172-M01,AACR-H0000168-M01,221,CBLB,NOTCH1,True,True,True,True,True,True
AACR-H0000137-M01,AACR-H0000198-M01,220,SRSF2,RUNX1,True,False,False,True,,False
AACR-H0000142-M01,AACR-H0000203-M01,216,CUX1,SETBP1,False,False,False,,,False
AACR-H0000215-M01,AACR-H0000118-M01,216,NOTCH1,SRSF2,False,True,False,True,True,True
AACR-H0000215-M01,AACR-H0000166-M01,216,NOTCH1,NOTCH1,False,True,False,True,True,True
AACR-H0000215-M01,AACR-H0000168-M01,216,NOTCH1,NOTCH1,False,True,False,True,True,True
AACR-H0000124-M01,AACR-H0000215-M01,215,CBLB,NOTCH1,False,False,False,,True,False
AACR-H0000122-M01,AACR-H0000215-M01,215,PDGFRA,NOTCH1,True,False,False,True,True,True
AACR-H0000185-M01,AACR-H0000158-M01,215,CSF3R,NOTCH1,True,True,True,True,True,True
AACR-H0000215-M01,AACR-H0000123-M01,215,NOTCH1,SMC3,False,True,False,True,True,True
AACR-H0000147-M01,AACR-H0000198-M01,214,NRAS,RUNX1,True,False,False,True,,False
AACR-H0000147-M01,AACR-H0000203-M01,214,NRAS,SETBP1,True,False,False,True,,False
AACR-H0000128-M01,AACR-H0000215-M01,213,CBLB,NOTCH1,False,False,False,,True,False
AACR-H0000145-M01,AACR-H0000198-M01,213,GATA2,RUNX1,True,False,False,True,,False
AACR-H0000172-M01,AACR-H0000178-M01,212,CBLB,NOTCH1,True,False,False,True,,False
AACR-H0000172-M01,AACR-H0000180-M01,212,CBLB,NOTCH1,True,False,False,True,,False
AACR-H0000145-M01,AACR-H0000203-M01,210,GATA2,SETBP1,True,False,False,True,,False
AACR-H0000123-M01,AACR-H0000226-M01,209,SMC3,ZRSR2,True,False,False,True,True,True
AACR-H0000122-M01,AACR-H0000226-M01,209,PDGFRA,ZRSR2,True,False,False,True,True,True
AACR-H0000124-M01,AACR-H0000226-M01,209,CBLB,ZRSR2,False,False,False,,True,False
AACR-H0000118-M01,AACR-H0000226-M01,209,SRSF2,ZRSR2,True,False,False,True,True,True
AACR-H0000133-M01,AACR-H0000215-M01,208,CUX1,NOTCH1,True,False,False,True,True,True
AACR-H0000158-M01,AACR-H0000215-M01,208,NOTCH1,NOTCH1,True,False,False,True,True,True
AACR-H0000215-M01,AACR-H0000132-M01,208,NOTCH1,RUNX1,False,False,False,True,,False
AACR-H0000215-M01,AACR-H0000137-M01,207,NOTCH1,SRSF2,False,True,False,True,True,True
AACR-H0000185-M01,AACR-H0000168-M01,207,CSF3R,NOTCH1,True,True,True,True,True,True
AACR-H0000185-M01,AACR-H0000166-M01,207,CSF3R,NOTCH1,True,True,True,True,True,True
AACR-H0000185-M01,AACR-H0000172-M01,207,CSF3R,CBLB,True,True,True,True,True,True
AACR-H0000128-M01,AACR-H0000226-M01,206,CBLB,ZRSR2,False,False,False,,True,False
AACR-H0000215-M01,AACR-H0000136-M01,205,NOTCH1,FLT3,False,True,False,True,True,True
AACR-H0000158-M01,AACR-H0000203-M01,204,NOTCH1,SETBP1,True,False,False,True,,False
AACR-H0000132-M01,AACR-H0000226-M01,204,RUNX1,ZRSR2,False,False,False,,True,False
AACR-H0000133-M01,AACR-H0000226-M01,204,CUX1,ZRSR2,True,False,False,True,True,True
AACR-H0000158-M01,AACR-H0000198-M01,203,NOTCH1,RUNX1,True,False,False,True,,False
AACR-H0000180-M01,AACR-H0000215-M01,203,NOTCH1,NOTCH1,False,False,False,,True,False
AACR-H0000147-M01,AACR-H0000215-M01,202,NRAS,NOTCH1,True,False,False,True,True,True
AACR-H0000145-M01,AACR-H0000215-M01,202,GATA2,NOTCH1,True,False,False,True,True,True
AACR-H0000185-M01,AACR-H0000178-M01,201,CSF3R,NOTCH1,True,False,False,True,,False
AACR-H0000142-M01,AACR-H0000215-M01,201,CUX1,NOTCH1,False,False,False,,True,False
AACR-H0000136-M01,AACR-H0000226-M01,200,FLT3,ZRSR2,True,False,False,True,True,True
AACR-H0000166-M01,AACR-H0000203-M01,200,NOTCH1,SETBP1,True,False,False,True,,False
AACR-H0000137-M01,AACR-H0000226-M01,200,SRSF2,ZRSR2,True,False,False,True,True,True
AACR-H0000168-M01,AACR-H0000203-M01,200,NOTCH1,SETBP1,True,False,False,True,,False
AACR-H0000142-M01,AACR-H0000226-M01,199,CUX1,ZRSR2,False,False,False,,True,False
AACR-H0000166-M01,AACR-H0000198-M01,199,NOTCH1,RUNX1,True,False,False,True,,False
AACR-H0000215-M01,AACR-H0000178-M01,199,NOTCH1,NOTCH1,False,False,False,True,,False
AACR-H0000168-M01,AACR-H0000198-M01,199,NOTCH1,RUNX1,True,False,False,True,,False
AACR-H0000172-M01,AACR-H0000203-M01,197,CBLB,SETBP1,True,False,False,True,,False
AACR-H0000185-M01,AACR-H0000180-M01,196,CSF3R,NOTCH1,True,False,False,True,,False
AACR-H0000124-M01,AACR-H0000238-M01,195,CBLB,NPM1,False,False,False,,,False
AACR-H0000238-M01,AACR-H0000123-M01,195,NPM1,SMC3,False,True,False,,True,False
AACR-H0000238-M01,AACR-H0000118-M01,195,NPM1,SRSF2,False,True,False,,True,False
AACR-H0000122-M01,AACR-H0000238-M01,195,PDGFRA,NPM1,True,False,False,True,,False
AACR-H0000145-M01,AACR-H0000226-M01,194,GATA2,ZRSR2,True,False,False,True,True,True
AACR-H0000128-M01,AACR-H0000238-M01,193,CBLB,NPM1,False,False,False,,,False
AACR-H0000172-M01,AACR-H0000198-M01,193,CBLB,RUNX1,True,False,False,True,,False
AACR-H0000147-M01,AACR-H0000226-M01,192,NRAS,ZRSR2,True,False,False,True,True,True
AACR-H0000180-M01,AACR-H0000198-M01,192,NOTCH1,RUNX1,False,False,False,,,False
AACR-H0000180-M01,AACR-H0000203-M01,192,NOTCH1,SETBP1,False,False,False,,,False
AACR-H0000238-M01,AACR-H0000137-M01,191,NPM1,SRSF2,False,True,False,,True,False
AACR-H0000158-M01,AACR-H0000226-M01,191,NOTCH1,ZRSR2,True,False,False,True,True,True
AACR-H0000178-M01,AACR-H0000203-M01,190,NOTCH1,SETBP1,False,False,False,,,False
AACR-H0000185-M01,AACR-H0000198-M01,190,CSF3R,RUNX1,True,False,False,True,,False
AACR-H0000238-M01,AACR-H0000133-M01,190,NPM1,CUX1,False,True,False,,True,False
AACR-H0000178-M01,AACR-H0000198-M01,189,NOTCH1,RUNX1,False,False,False,,,False
AACR-H0000185-M01,AACR-H0000203-M01,188,CSF3R,SETBP1,True,False,False,True,,False
AACR-H0000238-M01,AACR-H0000132-M01,188,NPM1,RUNX1,False,False,False,,,False
AACR-H0000250-M01,AACR-H0000123-M01,187,PTEN,SMC3,False,True,False,,True,False
AACR-H0000001-M01,AACR-H0000004-M01,187,KRAS,PIK3CA,True,True,True,True,True,True
AACR-H0000251-M01,AACR-H0000118-M01,187,CUX1,SRSF2,True,True,True,True,True,True
AACR-H0000122-M01,AACR-H0000250-M01,187,PDGFRA,PTEN,True,False,False,True,,False
AACR-H0000250-M01,AACR-H0000118-M01,187,PTEN,SRSF2,False,True,False,,True,False
AACR-H0000238-M01,AACR-H0000136-M01,187,NPM1,FLT3,False,True,False,,True,False
AACR-H0000124-M01,AACR-H0000250-M01,187,CBLB,PTEN,False,False,False,,,False
AACR-H0000124-M01,AACR-H0000251-M01,186,CBLB,CUX1,False,True,False,,True,False
AACR-H0000122-M01,AACR-H0000251-M01,186,PDGFRA,CUX1,True,True,True,True,True,True
AACR-H0000251-M01,AACR-H0000123-M01,186,CUX1,SMC3,True,True,True,True,True,True
AACR-H0000128-M01,AACR-H0000251-M01,185,CBLB,CUX1,False,True,False,,True,False
AACR-H0000128-M01,AACR-H0000250-M01,184,CBLB,PTEN,False,False,False,,,False
AACR-H0000238-M01,AACR-H0000142-M01,184,NPM1,CUX1,False,False,False,,,False
AACR-H0000166-M01,AACR-H0000226-M01,183,NOTCH1,ZRSR2,True,False,False,True,True,True
AACR-H0000168-M01,AACR-H0000226-M01,183,NOTCH1,ZRSR2,True,False,False,True,True,True
AACR-H0000133-M01,AACR-H0000250-M01,183,CUX1,PTEN,True,False,False,True,,False
AACR-H0000147-M01,AACR-H0000238-M01,183,NRAS,NPM1,True,False,False,True,,False
AACR-H0000172-M01,AACR-H0000215-M01,183,CBLB,NOTCH1,True,False,False,True,True,True
AACR-H0000251-M01,AACR-H0000133-M01,183,CUX1,CUX1,True,True,True,True,True,True
AACR-H0000172-M01,AACR-H0000226-M01,182,CBLB,ZRSR2,True,False,False,True,True,True
AACR-H0000251-M01,AACR-H0000258-M01,182,CUX1,CUX1,True,True,True,True,True,True
AACR-H0000258-M01,AACR-H0000118-M01,182,CUX1,SRSF2,True,True,True,True,True,True
AACR-H0000011-M01,AACR-H0000009-M01,182,TP53,IDH1,True,True,True,True,True,True
AACR-H0000258-M01,AACR-H0000123-M01,181,CUX1,SMC3,True,True,True,True,True,True
AACR-H0000124-M01,AACR-H0000258-M01,181,CBLB,CUX1,False,True,False,,True,False
AACR-H0000250-M01,AACR-H0000136-M01,181,PTEN,FLT3,False,True,False,,True,False
AACR-H0000250-M01,AACR-H0000132-M01,181,PTEN,RUNX1,False,False,False,,,False
AACR-H0000122-M01,AACR-H0000258-M01,181,PDGFRA,CUX1,True,True,True,True,True,True
AACR-H0000128-M01,AACR-H0000258-M01,180,CBLB,CUX1,False,True,False,,True,False
AACR-H0000251-M01,AACR-H0000132-M01,180,CUX1,RUNX1,True,False,False,True,,False
AACR-H0000145-M01,AACR-H0000238-M01,180,GATA2,NPM1,True,False,False,True,,False
AACR-H0000001-M01,AACR-H0000007-M01,179,KRAS,TP53,True,True,True,True,True,True
AACR-H0000250-M01,AACR-H0000137-M01,179,PTEN,SRSF2,False,True,False,,True,False
AACR-H0000251-M01,AACR-H0000137-M01,179,CUX1,SRSF2,True,True,True,True,True,True
AACR-H0000251-M01,AACR-H0000136-M01,178,CUX1,FLT3,True,True,True,True,True,True
AACR-H0000258-M01,AACR-H0000133-M01,178,CUX1,CUX1,True,True,True,True,True,True
